Albanian_G	KUJA
Irish_A	COIRT
Irish_B	COIRT
Romanian_List	SCOARTA
Italian	SCORZA
Italian	CORTECCIA
Ladin	SCORZA
French	ECORCE
Sardinian_N	ISKORTHA
Sardinian_L	ISCORZA
Sardinian_C	KROZU
Spanish	CORTEZA
Portuguese_ST	CORTICA
Portuguese_ST	CASCA
Brazilian	CORTEX
Brazilian	CORTICA
Catalan	ESCORXZ
Dutch_List	SCHORS
Afrikaans	BOOMSKORS
Lusatian_L	SKORA
Lusatian_U	SKORA
Czech	KURA
Slovak	KORA
Czech_E	KURA
Byelorussian	KARA
Polish	KORA
Russian	KORA
Macedonian	KORA
Bulgarian	KORA
Serbocroatian	KORA
Romani	KOZA
