Romanian_List	URECHE
Vlach	UREAKLI
Italian	ORECCHIO
Ladin	URAGLIA
Provencal	AURIHO
French	OREILLE
Walloon	OREYE
French_Creole_C	ZOHWEY
French_Creole_D	ZOREJ
Sardinian_N	URIKRA
Sardinian_L	ORICA
Sardinian_C	URIGA
Spanish	OREJA
Portuguese_ST	ORELHA
Brazilian	ORELHA
Catalan	AURELLA
Catalan	ORELLA
Catalan	OIDO
German_ST	OHR
Penn_Dutch	ORR
Dutch_List	OOR
Afrikaans	OOR
Flemish	OOR
Frisian	EAR
Swedish_Up	ORA
Swedish_VL	ORA
Swedish_List	ORA
Danish	ORE
Riksmal	ORE
Icelandic_ST	EYRA
Faroese	OYRA
English	EAR
