Frisian	EACH
Singhalese	ASA
Kashmiri	ACHI
Gujarati	AKH
Hindi	AKH
Nepali_List	AKHO
Khaskura	ANKHA
Armenian_Mod	AC*K*
Armenian_List	ASHK
Penn_Dutch	AWK
Lithuanian_O	AKIS
Lithuanian_ST	AKIS
Latvian	ACS
Romanian_List	OCHI
Vlach	OKLI
Italian	OCCHIO
Sardinian_C	OGU
Spanish	OJO
Portuguese_ST	OLHO
Brazilian	OLHO
Dutch_List	OOG
Afrikaans	OOG
Flemish	OOG
Swedish_Up	OGA
Swedish_VL	YGA
Swedish_VL	OGA
Swedish_List	OGA
Slovenian	OKO
Lusatian_L	WOKO
Lusatian_U	WOKO
Czech	OKO
Slovak	OKO
Czech_E	OKO
Ukrainian	OKO
Ukrainian	VUSKO
Byelorussian	VOKA
Polish	OKO
Macedonian	OKO
Macedonian	OCI
Bulgarian	OKO
Serbocroatian	OKO
Romani	YAK
