German_ST	FISCHE
Penn_Dutch	FISCH
Dutch_List	VISCH
Afrikaans	VIS
Flemish	VISCH
Frisian	FISK
Swedish_Up	FISK
Swedish_VL	FISK
Swedish_List	FISK
Danish	FISK
Riksmal	FISK
Icelandic_ST	FISKR
Faroese	FISKUR
English	FISH
Sranan	FISI
Romanian_List	PESTE
Vlach	PEASTE
Ladin	PESCH
Provencal	PEIS
Provencal	PEISSOUN
French	POISSON
French_Creole_C	PWESO
French_Creole_D	PWESO
Spanish	PEZ
Portuguese_ST	PEIXE
Brazilian	PEIXE
Catalan	PEIX
Welsh_N	PYSGODYN
Welsh_C	PISGODYN
Breton_List	PESK
Breton_SE	PESK
Breton_ST	PESK
Italian	PESCE
Sardinian_N	PISKE
Sardinian_L	PISCHE
Sardinian_C	PISSI
Albanian_T	PESHK
Albanian_Top	PESK
Albanian_G	PESHKU
Albanian_K	PISK
ALbanian_C	PISK
