Ossetic	FAD
Italian	PIE
Italian	PIEDE
Ladin	PE
Provencal	PED
French	PIED
Walloon	PI
French_Creole_C	PYE
French_Creole_D	PYE
Sardinian_N	PEDE
Sardinian_L	PE
Sardinian_C	PEI
Spanish	PIE
Portuguese_ST	PE
Brazilian	PE
Catalan	PEU
Singhalese	PAYA
Kashmiri	PAR
Kashmiri	PAD
Kashmiri	PURU
Marathi	PAUL
Marathi	PAY
Panjabi_ST	PER
Lahnda	PAER
Hindi	PER
Bengali	PA
Nepali_List	PAU
Greek_ML	PODI
Greek_MD	PODI
Greek_Mod	PODHI
Greek_D	PODI
Greek_K	POUS
Persian_List	PA
Tadzik	PO
Tadzik	POJ
Baluchi	PHADH
Wakhi	PUED
