German_ST	HERZ
Penn_Dutch	HOTZ
Dutch_List	HART
Afrikaans	HART
Flemish	HART
Frisian	HART
Swedish_Up	HJARTA
Swedish_VL	JATA
Swedish_List	HJARTA
Danish	HJERTE
Riksmal	HJERTE
Icelandic_ST	HJARTA
Faroese	HJARTA
English	HEART
Sranan	HATTI
Singhalese	HRADAYA
Marathi	HRIDEY
Hindi	HRIDEY
Greek_ML	KARDIA
Greek_MD	KARDIA
Greek_Mod	KARDHYA
Greek_D	KARDIA
Greek_K	KARDIA
Italian	CUORE
Ladin	COUR
Provencal	COR
French	COEUR
Walloon	COUR
Sardinian_N	KORO
Sardinian_L	CORO
Sardinian_C	KORI
Spanish	CORAZON
Portuguese_ST	CORACAO
Brazilian	CORACAO
Catalan	COR
Lithuanian_O	SIRDIS
Lithuanian_ST	SIRDIS
Latvian	SIRDS
Slovenian	SRCJ
Czech	SRDCE
Slovak	SRDCE
Czech_E	SRDCO
Ukrainian	SERCE
Byelorussian	SERCA
Polish	SERCE
Russian	SERDCE
Macedonian	SRCE
Bulgarian	SERCE
Serbocroatian	SRCE
Armenian_Mod	SIRT
Armenian_List	SIRD
Ossetic	ZAERDAE
Afghan	ZRE
Waziri	ZRE
