Icelandic_ST	NEF
Romanian_List	NAS
Italian	NASO
Ladin	NES
Provencal	NAS
French	NEZ
Walloon	NE
Walloon	NEZ
French_Creole_C	NE
French_Creole_D	NE
Sardinian_L	NASU
Sardinian_C	NASU
Catalan	NAS
German_ST	NASE
Penn_Dutch	NAWSZ
Dutch_List	NEUS
Afrikaans	NEUS
Flemish	NEUS
Frisian	NOAS
Swedish_Up	NASA
Swedish_VL	NASA
Swedish_List	NASA
Swedish_List	NOS
Danish	NAESE
Riksmal	NESE
Faroese	NOS
English	NOSE
Sranan	NOSO
Lithuanian_O	NOSIS
Lithuanian_ST	NOSIS
Slovenian	NUS
Lusatian_L	NOS
Lusatian_U	NOS
Czech	NOS
Slovak	NOS
Czech_E	NOS
Ukrainian	NIS
Byelorussian	NOS
Polish	NOS
Russian	NOS
Macedonian	NOS
Bulgarian	NOS
Serbocroatian	NOS
Kashmiri	NAST
