Singhalese	TARUVA
Kashmiri	TARUKH
Marathi	TARA
Gujarati	TARO
Panjabi_ST	TARA
Lahnda	TARA
Hindi	TARA
Bengali	TARA
Nepali_List	TARO
Khaskura	TARA
French	ETOILE
French_Creole_C	ZETWEL
French_Creole_D	ZETWEL
Ossetic	YST*ALY
Welsh_N	SEREN
Welsh_C	SEREN
Breton_List	STERED
Breton_SE	STIREN
Breton_ST	STEREDENN
Romanian_List	STEA
Vlach	STEAWE
Italian	STELLA
Ladin	ASTER
Provencal	ESTELLO
Walloon	STEULE
Sardinian_N	ISTEDDU
Sardinian_L	ISTELLA
Sardinian_C	STELLA
Spanish	ESTRELLA
Portuguese_ST	ESTRELLA
Brazilian	ESTRELA
Catalan	ESTELA
Catalan	ESTEL
German_ST	STERN
Dutch_List	STER
Afrikaans	STER
Flemish	STER
Frisian	STER
Swedish_Up	STJARNA
Swedish_List	STJARNA
Danish	STJERNE
Riksmal	STJERNE
Icelandic_ST	STJARNA
Faroese	STJORNA
English	STAR
Sranan	STAR
Sranan	STARI
Greek_ML	ASTRO
Greek_MD	ASTERI
Greek_Mod	ASTRO
Greek_D	ASTRO
Greek_K	ASTER
Afghan	STORAJ
Waziri	STORAI
Persian_List	SETARE
Tadzik	SITORA
Baluchi	ISTAR
Wakhi	STOR
