Icelandic_ST	THU
English	THOU
Sranan	JOE
Baluchi	THAU
Irish_A	TU
Irish_B	TU
Irish_B	TUSA
Welsh_N	TI
Welsh_C	TI
Breton_List	TE
Breton_SE	TE
Breton_ST	TE
Romanian_List	TU
Vlach	TINE
Italian	TU
Ladin	TU
Provencal	TU
Provencal	TE
French	TU
Walloon	TI
Sardinian_N	TUE
Sardinian_L	TUE
Sardinian_C	TUI
Spanish	TU
Portuguese_ST	TU
Brazilian	TU
Catalan	TEU
Catalan	TON
Catalan	TA
Faroese	TU
Lithuanian_O	TU
Lithuanian_ST	TU
Latvian	TU
Lusatian_L	TY
Lusatian_U	TY
Czech	TY
Slovak	TY
Czech_E	TI
Ukrainian	TY
Byelorussian	TY
Polish	TY
Russian	TY
Macedonian	TI
Bulgarian	TI
Serbocroatian	TI
Romani	TU
Marathi	TU
Gujarati	TU
Panjabi_ST	TU
Lahnda	TU
Hindi	TU
Bengali	TUMI
Nepali_List	TA
Nepali_List	TIMI
Khaskura	T
Afghan	TE
Waziri	TE
Persian_List	TO
Tadzik	TU
Wakhi	TU
Albanian_T	TI
Albanian_Top	TI
Albanian_G	TI
Albanian_K	TI
ALbanian_C	TI
