Albanian_Top	DHASE
Romanian_List	DA
Vlach	DAU
Italian	DARE
Ladin	DER
Provencal	DOUNA
French	DONNER
Walloon	DINER
Sardinian_N	DARE
Sardinian_L	DARE
Sardinian_C	DONAI
Spanish	DAR
Portuguese_ST	DAR
Brazilian	DAR
Catalan	DONAR
Lithuanian_O	DUOTI
Lithuanian_ST	DUOTI
Latvian	DOT
Slovenian	DATI
Slovenian	DAJ
Lusatian_L	DAS
Lusatian_U	DAC
Czech	DAVATI
Slovak	DAT
Czech_E	DAT
Ukrainian	DAVATY
Byelorussian	DAVAC*
Polish	DAWAC
Russian	DAVAT
Macedonian	DAVA
Bulgarian	DA-DAVA
Serbocroatian	DATI
Romani	DAV
Singhalese	DENAWA
Kashmiri	DYUNU
Marathi	DENE.
Panjabi_ST	DENA
Lahnda	DEWEN
Hindi	DENA
Bengali	DEOA
Nepali_List	DINU
Khaskura	DINU
Greek_ML	DINO
Greek_MD	DINO
Greek_Mod	DHINO
Greek_D	DINO
Greek_K	DIDO
Armenian_Mod	TAL
Armenian_List	DAL
Ossetic	DAETTYN
Waziri	DERKREL
Persian_List	DADAN
Tadzik	DODAN
Baluchi	DEAGH
Baluchi	DATHA
Albanian_T	ME-DHENE
