English	SCRATCH
Italian	GRATTARE
Ladin	SGRATTER
Ladin	GRATTER
Provencal	GRATA
French	GRATTER
Walloon	GRETER
French_Creole_C	GHWAFIYE
French_Creole_D	GWATE
Sardinian_N	GRATTARE-TURA
Sardinian_L	RATTARE
Catalan	GRATAR
Catalan	FREGAR
Albanian_Top	KRUAN
Albanian_Top	KROVA
Albanian_G	KRUJ
Albanian_K	KRUAN
Welsh_N	CRAFU
Welsh_C	CRAFU
Breton_List	KRAVAT
Breton_SE	KRAUAT
Breton_ST	KRAVAT
German_ST	KRATZEN
Penn_Dutch	GROTZ
Danish	KRADSE
Sranan	KRASI
Sranan	KRABOE
Irish_B	SCRIOBAIM
Breton_List	SKRABA
Breton_List	DISKRABA
Breton_ST	SKRABAN
Dutch_List	KRABLEN
Afrikaans	KRAP
Flemish	KRABBEN
Frisian	SKRAB
Frisian	SKRAEB
Lithuanian_ST	KRAPSTYTI
Lusatian_L	SKRABAS
Lusatian_U	SKRABAC
Czech	SKRABATI-SE
Slovak	SKRABAT
Czech_E	SCRABAT
