Irish_A	SUIDHE
Irish_B	SUIDHIM
Welsh_N	EISTEDD
Welsh_C	EISTEDD
Breton_List	AZEZA
Breton_SE	AZE
Breton_ST	AZEZAN
Romanian_List	SEDEA
Vlach	SEDU
Italian	SEDERE
Ladin	SEZZER
Provencal	ASSETA
Provencal	ASSEIRE
French	ASSEOIR
Walloon	ASSIR
Walloon	ACHIR
French_Creole_C	ASIZ
French_Creole_C	ASID
French_Creole_D	ASIZ
Sardinian_N	SEDERE
Sardinian_L	SEZZERE
Sardinian_C	SI-SEZZI
Spanish	SENTARSE
Portuguese_ST	ESTAR-ASSENTADO
Catalan	ASSENTARSE
German_ST	SITZEN
Dutch_List	ZITTEN
Afrikaans	SIT
Flemish	ZITTEN
Frisian	SITTE
Swedish_Up	SITTA
Swedish_VL	SITA
Swedish_List	SITTA
Danish	SIDDE
Riksmal	SITTE
Icelandic_ST	SITJA
Faroese	SITA
English	SIT
Sranan	SIDOM
Lithuanian_O	SEDETI
Lithuanian_ST	SEDETI
Latvian	SEDET
Slovenian	SEDET
Lusatian_L	SEJZES
Lusatian_U	SEDZEC
Czech	SEDETI
Slovak	SEDET
Czech_E	SEDET
Ukrainian	SYDITY
Byelorussian	SJADZEC*
Polish	SIEDZIEC
Russian	SIDET
Macedonian	SEDI
Bulgarian	DA-SEDI
Serbocroatian	SEDITI
