Afghan	ZER
Waziri	ZYER
Persian_List	ZARD
Tadzik	ZARD
Baluchi	ZARD
Baluchi	ZHALOKH
Wakhi	ZERT
Romanian_List	GALBEN
Vlach	GALBINE
Italian	GIALLO
Ladin	GIALV
German_ST	GELB
Penn_Dutch	GAYL
Dutch_List	GEEL
Afrikaans	GEEL
Flemish	GEEL
Frisian	GEEL
English	YELLOW
Sranan	GEELI
Lithuanian_O	GELTONAS
Lithuanian_ST	GELTONAS
Latvian	DZELTENS
Swedish_Up	GUL
Swedish_VL	GUL
Swedish_List	GUL
Danish	GULT
Riksmal	GUL
Icelandic_ST	GULR
Faroese	GULUR
Provencal	JAUNE
Provencal	AUNO
French	JAUNE
Walloon	DJENE
French_Creole_C	ZON
French_Creole_D	ZON
Lusatian_L	ZOLTY
Lusatian_U	ZOLTY
Czech	ZLUTY
Slovak	ZLTY
Czech_E	ZLUTE
Ukrainian	ZOVTYJ
Byelorussian	ZOWTY
Polish	ZOLTY
Russian	ZELTYJ
Macedonian	ZOLT
Bulgarian	ZELTO
Serbocroatian	ZUT
