Danish	frugt	fʁɔg̥d̥ʰ
French	fruit	fʀɥi
Cornish	frooth	fro:θ
Danish_Fjolde	frogt	fɹoɡd
Swedish	frukt	frɵkt
Frisian	frucht	frøxt
English	fruit	fru:t
Catalan	fruit	fru'i
Old_Swedish	frukt	frukt
Gutnish_Lau	frukt	frukt
Stavangersk	frokt	fʁukt
Övdalian	frukt	frʉkt
Norwegian	frukt	fɾʉkt
Faroese	frukt	fɹʊkt
Old_Norse	fruktr	fruktr
Spanish	fruta	'fɾuta
Portuguese_St	fruta	ˈfɾutɐ
Greek_Mod	fruto	ˈfruto̞
Italian	frutto	'frutto
German	frucht	fruxt
Breton_St	frouezh	'frwe:s
Dutch_List	vrucht	vrʏχt
