Catalan	arrel	ə'rɛl
Cornish	gwreydh	gwrɛɪð
Breton_St	gwrizienn	'gwrizjɛn
Old_Irish	fren	ɸʹrʹe:n
Italian	radice	ra'ditʃe
Portuguese_St	raiz	ɾɐˈiʃ
Spanish	raiz	ra'iθ
French	racine	ʀasin
Faroese	rot	ɹɔuːt
Tadzik	resa	reʃæ
Persian	rishe	riʃe
Greek_Mod	riza	'riza
Ancient_Greek	rizda	rízda
Old_Norse	rot	roːt
Old_Swedish	rot	roːt
Danish	rod	ʁoˀð
Icelandic_St	rot	rouːt
Gutnish_Lau	raut	rout
Swedish	rot	ru:t
English	root	ru:t
Stavangersk	rod	ʁuːd
Övdalian	ruot	rʉːət
Norwegian	rot	ɾuːt
Danish_Fjolde	ruoj	ɹuoj
Frisian	woartel	'vuatəl
German	wurzel	'vʊt͜sl̩
Dutch_List	wortel	'wɔrtəl
Brazilian	raiz	xa'is
